Police_Station,Mandal_Name,Code,Address,Latitude,Longitude,Google_Maps_Link,QR_Code_Data
Ambad Police Station,Pelican Bahu-uddeshiya Sanstha (Valuable) (AMB-001),AMB-001,"Swami Vivekananda Nagar, Navin Cidco, Nashik",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Ambad Police Station,Ekta Vividh Vikas Seva Sansthan (Valuable) (AMB-002),AMB-002,"Rajratnanagar Cidco, Nashik",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Ambad Police Station,Shri Krishna Kala Va Krida Sanskrutik Mitra Mandal (Valuable) (AMB-003),AMB-003,"Shri Krishna Nagar, Ambad, Nashik",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Ambad Police Station,"Raje Chhatrapati Educational, Cultural, Arts and Sports Mandal (AMB-004)",AMB-004,"Raje Chhatrapati Mandal Sports Ground, Old Cidco, Nashik",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Ambad Police Station,Shrimant Cidcocha Maharaja Cidco Colony Mitra Mandal (AMB-005),AMB-005,"Chhatrapati Shivaji Chowk, Cidco, Nashik",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Ambad Police Station,Shivraj Yuvak Mitra Mandal (AMB-006),AMB-006,"Near Bhole Mangal Karyalaya, Shubham Park, Cidco, Nashik",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Ambad Police Station,Raje Sambhaji Kala Va Krida Mandal (AMB-007),AMB-007,"Jijamata vegetable Market, Pawan Nagar, Cidco, Nashik",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Ambad Police Station,Cidcocha Raja Mitra Mandal (AMB-008),AMB-008,"Hedgewar Nagar, Volleyball ground, Trimurti Chowk, Cidco,",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Ambad Police Station,Datdham Chowk Mitra Mandal (AMB-009),AMB-009,"Naik Farm, Cidco, Nashik",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Ambad Police Station,Hulk Fitness Social Foundation (AMB-010),AMB-010,I.T.I. Bridge Sahane Nagar,19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Ambad Police Station,Sarvagnya Foundation (AMB-011),AMB-011,"D.G.P. Nagar, near Ankur Hospital Sarvagnya Kirana Mauli Lawns, Nashik",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Ambad Police Station,Mauli Mitra Mandal (AMB-012),AMB-012,"Sarvagnya Kirana Mauli Lawns, Nashik, next to Sai Hall, Mauli Lawns D.G.P.",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Bhadrakali Police Station,Bhadrakali Karanja Mitra Mandal (BHA-001),BHA-001,"Sakshi Ganesh Temple, Tivandha, Nashik",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Bhadrakali Police Station,Shivseva Yuvak Mitra Mandal (BHA-002),BHA-002,"Gadge Maharaj Statue, Nashik",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Bhadrakali Police Station,Janata Raja Mitra Mandal (BHA-003),BHA-003,"Dingarali, Old Nashik",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Bhadrakali Police Station,Shri. Raje Chhatrapati Samajik Sanskrutik Kala Va Krida Mitra Mandal (BHA-004),BHA-004,"B.D. Bhalekar Maidan, Nashik",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Bhadrakali Police Station,Yuvak Unnati Mitra Mandal (BHA-005),BHA-005,"Bhadrakali Foot Market, Nashik",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Bhadrakali Police Station,Utkarsh Mitra Mandal (BHA-006),BHA-006,"Naikwadipura, Nashik",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Bhadrakali Police Station,Shri Bhakti Mitra Mandal (BHA-007),BHA-007,"Old Tambat Lane, near Rahad, Nashik",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Bhadrakali Police Station,Satyam Sanskrutik Kala Va Krida Mandal (BHA-008),BHA-008,Taksal Lane Corner,19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Bhadrakali Police Station,Shri Bharat Mitra Mandal (BHA-009),BHA-009,"Old Tambat Lane, near Sakshi Ganesh Ganpati, Khandve Ganpati Aai",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Bhadrakali Police Station,Welcome Sahakarya Mitra Mandal (BHA-010),BHA-010,"Nav Darwaza, Nashik",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Bhadrakali Police Station,Rokdoba Mitra Mandal (BHA-011),BHA-011,"Nav Darwaza, Nashik",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Bhadrakali Police Station,Dande Hanuman Mitra Mandal (BHA-012),BHA-012,"Kazipura Chowk, Old Nashik",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Bhadrakali Police Station,Shri. Shaneshwara Yuvak Samiti (BHA-013),BHA-013,Chowk Mandai,19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Bhadrakali Police Station,Gajanan Mitra Mandal (BHA-014),BHA-014,"Somwar Peth, Tibandha",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Bhadrakali Police Station,Mahalakshmi Chal Social Foundation (BHA-015),BHA-015,"Bagwanpura, Old Nashik",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Bhadrakali Police Station,Burud Galli Lokpriya Mitra Mandal (BHA-016),BHA-016,"Burud Galli, Kokanipura",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Bhadrakali Police Station,"Bhoi Mitra Mandal, Bhoi Galli (BHA-017)",BHA-017,"Bhoi Galli, Kathada",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Bhadrakali Police Station,Nehru Chowk Mitra Mandal (BHA-018),BHA-018,"Pimpalpar, Nehru Chowk",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Bhadrakali Police Station,Namco Bank Parivar Ganeshotsav Mandal (BHA-019),BHA-019,Nepali Corner,19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Bhadrakali Police Station,Butan Aikya Mitra Mandal (BHA-020),BHA-020,"Budhwar Peth, Buttaro Corner",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Bhadrakali Police Station,Hanuman Yuvak Mitra Mandal (BHA-021),BHA-021,Miradatar Dargah,19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Bhadrakali Police Station,Old Nashik Friend Circle (BHA-022),BHA-022,"Darbar Road, Nanavali",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Bhadrakali Police Station,Bhadrakali Yuvak Mandal (BHA-023),BHA-023,"Bhadrakali Patio, Old Nashik",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Bhadrakali Police Station,Dharmveer Sambhaji Mitra Mandal (BHA-024),BHA-024,"In front of Nanavali Police Chowky, Nanavali",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Bhadrakali Police Station,"Shri Seva Pimpal Tauk Kala Va Krida Mandal, Nashik (BHA-025)",BHA-025,"Thackeray Road, Pimpal Chowk",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Bhadrakali Police Station,H.L. Kamgar Mitra Mandal (BHA-026),BHA-026,B.D. Bhalekar Maidan,19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Bhadrakali Police Station,Yashwant Sanskrutik Kala Va Krida Mandal (BHA-027),BHA-027,B.D. Bhalekar Maidan,19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Bhadrakali Police Station,Shri Samarth Mitra Mandal (BHA-028),BHA-028,"Shankar Nagar, Takli Road",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Bhadrakali Police Station,Navkanti Mitra Mandal (BHA-029),BHA-029,"Hanuman Chowk, Kathe Galli",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Bhadrakali Police Station,Shri Balaji Mitra Mandal (BHA-030),BHA-030,"Shankar Nagar, Takli Road, Dwarka",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Bhadrakali Police Station,Arjun Kala Va Krida Mandal (BHA-031),BHA-031,"Jahangir Complex, Kathe Galli Signal",19.99071,73.79935,"https://www.google.com/maps?q=19.99071,73.79935","https://www.google.com/maps?q=19.99071,73.79935"
Bhadrakali Police Station,Rammukti Mitra Mandal (BHA-032),BHA-032,"Rammukti Chowk, Chowk Mandai",19.99616,73.7926,"https://www.google.com/maps?q=19.99616,73.7926","https://www.google.com/maps?q=19.99616,73.7926"
Bhadrakali Police Station,Bosch Ganesh Mandal (BHA-033),BHA-033,B.D. Bhalekar Maidan,19.99888,73.78469,"https://www.google.com/maps?q=19.99888,73.78469","https://www.google.com/maps?q=19.99888,73.78469"
Bhadrakali Police Station,Mahindra & Mahindra Utsav Samiti (BHA-034),BHA-034,B.D. Bhalekar Maidan,19.99887,73.78459,"https://www.google.com/maps?q=19.99887,73.78459","https://www.google.com/maps?q=19.99887,73.78459"
Bhadrakali Police Station,H.L. Kamgar Mandal (BHA-035),BHA-035,B.D. Bhalekar Maidan,19.99894,73.78438,"https://www.google.com/maps?q=19.99894,73.78438","https://www.google.com/maps?q=19.99894,73.78438"
Bhadrakali Police Station,Shri Gajanan Maharaj Mitra Mandal (BHA-036),BHA-036,Taksal Lane,19.99905,73.78470,"https://www.google.com/maps?q=19.99905,73.78470","https://www.google.com/maps?q=19.99905,73.78470"
Bhadrakali Police Station,Prerna Sanskrutik Mitra Mandal (BHA-037),BHA-037,"Bagul Corner, Main Road",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Bhadrakali Police Station,Bhoiraj Foundation (BHA-038),BHA-038,"Bhoi Galli, Old Nashik",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Bhadrakali Police Station,Shivraj Mitra Mandal (BHA-039),BHA-039,"Maneqsha Nagar, Dwarka",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Bhadrakali Police Station,Hindu Ekta Andolan Paksha Pranit Shahid Bhagatsing Kranti Dal (BHA-040),BHA-040,Shahid Bhagat Singh Chowk,19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Bhadrakali Police Station,Nataraj Mitra Mandal (BHA-041),BHA-041,"Talawadi, Central Market",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Gangapur Police Station,"Rajmudra Sanskrutik Kala, Krida Mandal (GAN-001)",GAN-001,"Bhosla Circle, College Road, Nashik",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Gangapur Police Station,Jai Bajrang Mitra Mandal Nashik (GAN-002),GAN-002,"Near Shraddha Mall, Yevlekar Mala",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Gangapur Police Station,Shivsamarth Kala Krida Mitra Mandal (GAN-003),GAN-003,"Kranti Chowk, Gangapur Gaon, Nashik",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Gangapur Police Station,Gangapur Road Cha Maharaja Mitra Mandal (GAN-004),GAN-004,"In front of Hotel Durga, K.B.T. Circle, Gangapur Road, Nashik",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Gangapur Police Station,Shivshambho Yuva Pratishthan Mitra Mandal (Gangapur Road Cha Chintamani) (GAN-005),GAN-005,"Near Body Master Gym, Pumping Station, Gangapur Road, Nashik",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Gangapur Police Station,Goda Shraddha Mitra Mandal (GAN-006),GAN-006,"Near Shraddha Mall, College Road, Nashik",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Gangapur Police Station,Shiv Kesari Bahuudeshiya Vikas Mandal (GAN-007),GAN-007,"Chintamani Mangal Karyalaya, Ekta Nagar, Nashik",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Gangapur Police Station,Roshan Bhau Ghate Charitable Trust Pranit Sahyadri Yuva Pratishthan (GAN-008),GAN-008,"Samvidhan Chowk, City Center Mall, Gangapur Road, Pumping Station Road,",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Gangapur Police Station,Ekta Mitra Mandal (GAN-009),GAN-009,"Near Rickshaw Stand, Gangapur Gaon, Nashik",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Gangapur Police Station,Chhatrapati Shivaji Mitra Mandal (GAN-010),GAN-010,"Chhatrapati Shivajinagar, Nashik",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Indiranagar Police Station,Chhava Kantiveer Sena Shambho Narayan Group Nashikcha Vighnaharta (IND-001),IND-001,"Gamnemidan, Vasnagar, Pathardi Fata, Nashik",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Indiranagar Police Station,"Hindavi Swarajya Pratishthan, Matoshri Chowk, Rajivanagar (IND-002)",IND-002,"In front of Sharda School, Ranenagar, Indiranagar, Nashik",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Indiranagar Police Station,"Late Dharmaraj Barode Bahu-Uddeshiya Sanstha Pranit Shripratishthan, Indiranagar (IND-003)",IND-003,"Shradha Vihar near Gajanan Mandir, Pathardi Road, Indiranagar, Nashik",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Indiranagar Police Station,"Indiranagar Utsav Samiti, Indiranagar (IND-004)",IND-004,"Madhusudan Park Bapu Bungalow, Indiranagar, Nashik",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Indiranagar Police Station,"Unique Group, Rajivanagar, Indiranagar (IND-005)",IND-005,"In front of Kalibari Temple, Matoshri Chowk to Aditya Hall",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Indiranagar Police Station,"Sangharsh Sevabhavi Sanstha, Kala Nagar, Indiranagar (IND-006)",IND-006,"Kalanagar Chowk, Indiranagar, Nashik",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Mhasrul Police Station,Kala Krida Shikshanik Va Sanskrutik Mitra Mandal (MHA-001),MHA-001,"Sai Datt Dham Mandir, Gayatri Nagar, Dindori Road, Mhasrul, Nashik",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Mhasrul Police Station,Jijau Kala Krida Va Sanskrutik Mitra Mandal (MHA-002),MHA-002,"In front of Jio Petrol Pump, Jijau Chowk, Dindori Road, Mhasrul, Nashik",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Mhasrul Police Station,Rajmudra Pratishthan (MHA-003),MHA-003,"Mankar Nagar, near Runtha Building, Mankar Petrol Pump, Nashik",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
